_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
84.25,1685,0.017426612882329894,-0.39700999541287985,0.7679853198208405,0.024516780062005868,0.01255690707391244,-2.0061910152435303,2.097386121749878,0.38267224713471093,-1.2228925422577392e-16,-3.2831294282483485,0.9921637544455154,0.9999893671068115,0.19232101304902846,0.0050000000000000044,0.46557705834794866,0.011849870887962374,20,-0.001135332,0.9151821,0.0012094209,0.6666666666666666,1.0,0.0016489733756101341,0.8629014399194956,-4.6010580320586305
89.25,1785,0.004167028984151137,-0.37717208155042076,0.760272033108636,0.02461271261422591,-4.8050656914711e-05,-1.9282559156417847,2.4341063499450684,0.3866432313454819,1.9903157864428577e-17,-2.034574857339643,2.820217200937607,0.9999443852634371,0.20156551748169294,0.0050000000000000044,0.4942464016102087,0.01289420882526837,40,-0.0061787525,0.91075456,0.005051129,0.6666666666666666,1.0,0.001984851982329241,0.8460703333636869,0.8242197680462588
84.3,1686,0.009952866953824144,-0.3536332214297682,0.7668423494103112,0.024036526830858225,0.03069128082901646,-1.8949326276779175,1.984337568283081,0.38446843948343,1.6857478902967977e-17,-3.212261361249203,3.9517242129814254,0.9999322572877338,0.19187334066903147,0.0050000000000000044,0.47355338755497317,0.011644122325236143,60,-0.004424964,0.9065743,0.003977619,0.6666666666666666,1.0,0.0011993940817250869,0.8976374031300481,0.8813437572852082
92.9,1858,-0.006175606885898042,-0.3507294731168052,0.7410474776173813,0.0220930575588389,0.06053522104684131,-1.8849766254425049,2.1007282733917236,0.3638024360938753,0.0,-2.8399609508353008,3.308444355688819,0.9999316445277593,0.20933402659825393,0.0050000000000000044,0.5067644337834546,0.013822899654879602,80,-0.012385753,0.90376127,0.010299243,1.0,1.0,0.0015355529857394889,0.8909401344470086,0.8807062135549971
106.7,2134,-1.3026974001636303e-05,-0.39597287886436566,0.884714244704545,0.024946108136122812,0.08119030487474889,-2.593330144882202,2.0439376831054688,0.3816637822538082,-2.6637028519591385e-17,-2.4255652007211133,3.06426497698826,0.9999502347728174,0.2425598257940231,0.0050000000000000044,0.6348769673824637,0.020295201588710957,100,-0.002636972,0.90135235,0.0023232757,1.0,1.0,0.0043787210697653345,0.7842991074938158,0.7289589636982337
94.75,1895,0.018952460796425083,-0.3614502272545134,0.9041230658195836,0.028566019380422907,0.09444149394143658,-1.7885520458221436,1.9994330406188965,0.36520188260893544,-7.499131775832192e-18,-3.191590962179018,3.1278011611269805,0.9999553200265989,0.2195617978539782,0.0050000000000000044,0.5378803509608291,0.016637814042194544,120,-0.008367076,0.8993681,0.009205676,1.5,1.0,0.003020894227322641,0.8242185042112578,0.8172145898661914
104.4,2088,-0.011425845063614657,-0.46832868623661916,0.8250550484918702,0.018828691534003662,0.12629035373742004,-2.040750741958618,2.147401809692383,0.39197034248914275,-3.402982450958334e-18,-3.3923600820565123,3.7131363493977427,0.9999467682344871,0.23589872534409623,0.0050000000000000044,0.5560448678685461,0.018381223266695175,140,-0.0009881924,0.89785945,0.0010461896,1.0,1.0,0.0025138816640630857,0.8649670919599989,0.8589093440901475
109.6,2192,-0.012506316850964833,-0.3919364064680978,0.8298473297165688,0.017644672455769953,0.14961992643338484,-2.1275389194488525,2.4828176498413086,0.432967619908567,1.9449162475185225e-17,-4.2523379960688334,3.234243247624118,0.999947082503113,0.24642277791494693,0.0050000000000000044,0.6023995591935298,0.02056360019807138,160,-0.0029867967,0.89793146,0.003539334,1.0,1.0,0.003188006662490966,0.846124672036099,0.8398832699884538
109.6,2192,0.008378867317599728,-0.41399605874897855,1.000904777071978,0.024052025391150585,0.09006849685951517,-2.2880773544311523,2.5537681579589844,0.39328763690134505,-6.4830541583950745e-18,-3.773126770408067,3.715038413089752,0.9999490024565671,0.24246415941140803,0.0050000000000000044,0.5626709537099996,0.01845299245250713,180,-0.0034152544,0.89892375,0.0038123908,1.0,1.0,0.002586254505732086,0.8631962222613488,0.8592335372214269
116.75,2335,-0.015316107311099256,-0.4347787077621781,0.7559116216181678,0.016969813848206627,0.11572483969648913,-2.128553867340088,2.4969937801361084,0.42942636610549484,-2.4344076599917778e-17,-3.9303193458049424,3.9336425275814344,0.9999503544433813,0.2548421421868378,0.0050000000000000044,0.5963754117609891,0.020123951842777318,200,-0.0034367521,0.8986149,0.0033778655,1.0,1.0,0.0028713985148553596,0.8587674468133931,0.8510625035602077
111.2,2224,0.0026152210165115144,-0.40364052467623646,1.2438031494422999,0.021754156852113803,0.11035352930126766,-2.088738441467285,2.2684035301208496,0.4309905797448457,2.5559091214392094e-17,-4.294080537117473,3.36698227222552,0.9999459196117286,0.24808295536682365,0.0050000000000000044,0.6141794625334682,0.02013678981929605,220,-0.0033042915,0.90204155,0.0037906887,1.0,1.0,0.0029698371184185444,0.8531762227039552,0.8476190281518677
118.95,2379,-0.020742160907482522,-0.42160335041296026,0.8577552218422085,0.01455511393368783,0.1600916302015597,-2.315519094467163,2.9459714889526367,0.4742075680327621,-2.3893828861205555e-17,-4.236770688129409,3.45257455492661,0.9999383019327338,0.2557493916176023,0.0050000000000000044,0.5882009958872229,0.019488011824588702,240,-0.0050126915,0.90279627,0.005197584,1.0,1.0,0.0018080552632518756,0.9087829034024847,0.9043235787498872
139.8,2796,-0.011424761909294437,-0.5064620673983066,2.7874263872789826,0.04485103289896889,0.26095461491288857,-2.2996344566345215,3.0289721488952637,0.5318209165360637,5.082566064092276e-17,-3.6291813306946854,3.370506598601469,0.9999507900750028,0.29139960640127827,0.0050000000000000044,0.690542584224297,0.02475870278597245,260,-0.0046767103,0.8995959,0.0058084135,1.0,1.0,0.004497660029271218,0.8238503395536289,0.7907253188623697
